Store,Type,Size
13,A,219622
11,A,207499
28,A,206302
4,A,205863
27,A,204184
19,A,203819
24,A,203819
31,A,203750
20,A,203742
32,A,203007
6,A,202505
2,A,202307
14,A,200898
41,A,196321
39,A,184109
34,A,158114
40,A,155083
8,A,155078
26,A,152513
1,A,151315
36,A,39910
33,A,39690
21,B,140167
25,B,128107
10,B,126512
9,B,125833
15,B,123737
18,B,120653
22,B,119557
45,B,118221
23,B,114533
12,B,112238
35,B,103681
29,B,93638
17,B,93188
7,B,70713
16,B,57197
3,B,37392
5,B,34875
30,C,42988
43,C,41062
37,C,39910
44,C,39910
38,C,39690
42,C,39690
